run_id,timestamp,nodes,cid,bandwidth,tdd,rank,network,distribution,uplink_latency,downlink_latency,train_loss,train_time,eval_loss,eval_acc,eval_time,num-examples,num-eval-examples,round
17133511992077490078,1765468271.1931663,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.4453072547912598,0.6250934600830078,2.2441709730952693,74.59048843383789,2.302821808223483,0.1012,7.350836277008057,40000.0,10000.0,1.0
17133511992077490078,1765468363.1616952,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.5254695415496826,0.8135607242584229,1.9248187069694835,74.65576982498169,2.055881791476962,0.2416,7.135844469070435,40000.0,10000.0,2.0
17133511992077490078,1765468454.4231756,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.5599403381347656,0.8107526302337646,1.7865079340462486,74.92391204833984,1.7910924259620378,0.3171,7.169985055923462,40000.0,10000.0,3.0
17133511992077490078,1765468546.7509704,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.4698078632354736,0.7863333225250244,1.7004554873457352,75.013911485672,1.7802555425257622,0.3288,7.24617862701416,40000.0,10000.0,4.0
17133511992077490078,1765468638.960142,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.455237627029419,0.7683112621307373,1.6477198181822659,74.80818843841553,1.6489835826656487,0.3789,7.238145589828491,40000.0,10000.0,5.0
17133511992077490078,1765468731.1187804,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.4746928215026855,0.8200583457946777,1.576933465064905,74.70106267929077,1.6317210665232018,0.3909,7.167156934738159,40000.0,10000.0,6.0
17133511992077490078,1765468822.4758787,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.4848790168762207,0.8487887382507324,1.538821191833423,74.87343335151672,1.5824612575241281,0.4078,7.1857733726501465,40000.0,10000.0,7.0
17133511992077490078,1765468914.6936536,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.5099029541015625,0.7789666652679443,1.5123454842704553,74.45812773704529,1.506230284896078,0.438,7.156046628952026,40000.0,10000.0,8.0
17133511992077490078,1765469006.1101813,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.4713919162750244,0.834808349609375,1.4747306603593187,74.36596298217773,1.5219504803041868,0.4306,7.123689413070679,40000.0,10000.0,9.0
17133511992077490078,1765469097.42747,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.5372567176818848,0.7586669921875,1.4440734043669776,75.01383948326111,1.454850690274299,0.4617,7.2828049659729,40000.0,10000.0,10.0
17133511992077490078,1765469189.6384857,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.5189096927642822,0.7326548099517822,1.4169862041839014,74.42972302436829,1.503923159611376,0.4499,7.138106107711792,40000.0,10000.0,11.0
17133511992077490078,1765469280.8421245,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.5615437030792236,0.7830743789672852,1.389269956384604,74.39432454109192,1.42044393171238,0.4834,7.142754077911377,40000.0,10000.0,12.0
17133511992077490078,1765469372.0478902,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.5200753211975098,0.7687022686004639,1.359157019910721,74.85240626335144,1.3960035330132594,0.4915,7.231308937072754,40000.0,10000.0,13.0
17133511992077490078,1765469464.3816686,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.5505785942077637,0.7945010662078857,1.3429461504323794,74.79369401931763,1.3758893948567064,0.5048,7.18156361579895,40000.0,10000.0,14.0
17133511992077490078,1765469556.7300277,1N,1,100 MHz,2-7,2x2,wwan,dirichlet,1.5180120468139648,0.8387787342071533,1.3246348113678514,74.80004858970642,1.4003417688080027,0.4952,7.217200517654419,40000.0,10000.0,15.0
